Shape_Leng,起点_1,起点_12,终点_1,终点_12,数量,time,日期,小时
605.518210312,113.785254506,22.718614839,113.779873079,22.719345804,3,2021-11-20,20211120,21
1075.57325204,114.076305321,22.536782164,114.079906425,22.5450631,4,2021-11-20,20211120,9
1075.57325204,114.076305321,22.536782164,114.079906425,22.5450631,4,2021-11-20,20211120,9
911.179601208,113.883487951,22.564216029,113.882597805,22.55670197,3,2021-11-20,20211120,11
826.146373605,113.876285541,22.575856674,113.869084792,22.574198085,4,2021-11-20,20211120,22
853.891125139,114.13298833,22.702390786,114.139273982,22.69833486,3,2021-11-20,20211120,1
568.233403197,114.111455361,22.54714486,114.115057862,22.543804864,3,2021-11-20,20211120,7
568.233403197,114.111455361,22.54714486,114.115057862,22.543804864,3,2021-11-20,20211120,7
568.233403197,114.111455361,22.54714486,114.115057862,22.543804864,3,2021-11-20,20211120,7
568.233403197,114.111455361,22.54714486,114.115057862,22.543804864,3,2021-11-20,20211120,7
568.233403197,114.111455361,22.54714486,114.115057862,22.543804864,3,2021-11-20,20211120,7
568.233403197,114.111455361,22.54714486,114.115057862,22.543804864,3,2021-11-20,20211120,7
2988.6881431,114.126742994,22.547217495,114.100648532,22.541384594,5,2021-11-20,20211120,19
944.064993619,114.057390448,22.625410988,114.050209444,22.621246488,3,2021-11-20,20211120,19
2487.06353481,113.87450381,22.761734887,113.853764858,22.769396962,4,2021-11-20,20211120,17
1088.09769767,113.890670619,22.56179132,113.882597805,22.55670197,4,2021-11-20,20211120,10
893.178147083,114.125827612,22.677296722,114.118633168,22.680574178,3,2021-11-20,20211120,21
